time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-30 00:00:00+00:00,1,1,8,1
2023-05-31 00:00:00+00:00,1,1,15,1
2023-06-01 00:00:00+00:00,1,1,0,0
2023-06-02 00:00:00+00:00,1,1,35,3
2023-06-03 00:00:00+00:00,1,1,0,0
2023-06-04 00:00:00+00:00,1,1,1,1
2023-06-05 00:00:00+00:00,2,2,0,0
2023-06-06 00:00:00+00:00,1,1,24,2
2023-06-07 00:00:00+00:00,1,1,0,0
2023-06-08 00:00:00+00:00,2,2,19,1
2023-06-09 00:00:00+00:00,1,1,0,0
2023-06-10 00:00:00+00:00,1,1,31,1
2023-06-11 00:00:00+00:00,1,1,0,0
2023-06-12 00:00:00+00:00,7,5,3,1
2023-06-13 00:00:00+00:00,2,2,0,0
2023-06-14 00:00:00+00:00,2,2,2,1
2023-06-15 00:00:00+00:00,2,2,0,0
2023-06-16 00:00:00+00:00,2,2,53,1
2023-06-17 00:00:00+00:00,1,1,65,1
2023-06-18 00:00:00+00:00,1,1,1,1
2023-06-19 00:00:00+00:00,2,2,12,2
2023-06-20 00:00:00+00:00,1,1,17,1
2023-06-21 00:00:00+00:00,5,3,8,1
2023-06-22 00:00:00+00:00,2,2,16,2
2023-06-23 00:00:00+00:00,3,3,0,0
2023-06-24 00:00:00+00:00,1,1,4,1
2023-06-25 00:00:00+00:00,1,1,0,0
2023-06-26 00:00:00+00:00,2,2,0,0
2023-06-27 00:00:00+00:00,1,1,41,1
2023-06-28 00:00:00+00:00,2,2,0,0
2023-06-29 00:00:00+00:00,1,1,3,2
2023-06-30 00:00:00+00:00,1,1,0,0
2023-07-01 00:00:00+00:00,1,1,0,0
2023-07-02 00:00:00+00:00,1,1,0,0
2023-07-03 00:00:00+00:00,3,3,0,0
2023-07-04 00:00:00+00:00,2,2,0,0
2023-07-05 00:00:00+00:00,1,1,0,0
2023-07-06 00:00:00+00:00,1,1,0,0
2023-07-07 00:00:00+00:00,1,1,3,1
2023-07-08 00:00:00+00:00,1,1,0,0
2023-07-09 00:00:00+00:00,1,1,0,0
2023-07-10 00:00:00+00:00,2,2,0,0
2023-07-11 00:00:00+00:00,2,2,4,2
2023-07-12 00:00:00+00:00,1,1,0,0
2023-07-13 00:00:00+00:00,1,1,0,0
2023-07-14 00:00:00+00:00,2,2,1,1
2023-07-15 00:00:00+00:00,1,1,0,0
2023-07-16 00:00:00+00:00,1,1,0,0
2023-07-17 00:00:00+00:00,9,7,1,1
2023-07-18 00:00:00+00:00,1,1,62,4
2023-07-19 00:00:00+00:00,1,1,39,1
2023-07-20 00:00:00+00:00,1,1,2,1
2023-07-21 00:00:00+00:00,1,1,0,0
2023-07-22 00:00:00+00:00,1,1,1,1
2023-07-23 00:00:00+00:00,1,1,0,0
2023-07-24 00:00:00+00:00,3,3,0,0
2023-07-25 00:00:00+00:00,3,3,0,0
2023-07-26 00:00:00+00:00,1,1,2,1
2023-07-27 00:00:00+00:00,1,1,3,1
2023-07-28 00:00:00+00:00,5,3,0,0
2023-07-29 00:00:00+00:00,1,1,0,0
2023-07-30 00:00:00+00:00,2,2,0,0
2023-07-31 00:00:00+00:00,3,3,0,0
2023-08-01 00:00:00+00:00,1,1,0,0
2023-08-02 00:00:00+00:00,1,1,0,0
2023-08-03 00:00:00+00:00,3,2,0,0
2023-08-04 00:00:00+00:00,2,2,1,1
2023-08-05 00:00:00+00:00,1,1,0,0
2023-08-06 00:00:00+00:00,2,2,0,0
2023-08-07 00:00:00+00:00,4,4,16,8
2023-08-08 00:00:00+00:00,5,4,21,5
2023-08-09 00:00:00+00:00,3,3,0,0
2023-08-10 00:00:00+00:00,2,2,3,2
2023-08-11 00:00:00+00:00,1,1,5,1
2023-08-12 00:00:00+00:00,7,6,1,1
2023-08-13 00:00:00+00:00,1,1,1,1
2023-08-14 00:00:00+00:00,3,3,0,0
2023-08-15 00:00:00+00:00,2,2,0,0
2023-08-16 00:00:00+00:00,2,2,3,1
2023-08-17 00:00:00+00:00,1,1,41,1
2023-08-18 00:00:00+00:00,1,1,9,1
2023-08-19 00:00:00+00:00,1,1,0,0
2023-08-20 00:00:00+00:00,1,1,2,2
2023-08-21 00:00:00+00:00,2,2,0,0
2023-08-22 00:00:00+00:00,1,1,25,1
2023-08-23 00:00:00+00:00,1,1,1,1
2023-08-24 00:00:00+00:00,1,1,25,1
2023-08-25 00:00:00+00:00,1,1,26,2
2023-08-26 00:00:00+00:00,1,1,0,0
2023-08-27 00:00:00+00:00,1,1,3,1
2023-08-28 00:00:00+00:00,2,2,6,1
2023-08-29 00:00:00+00:00,2,2,30,2
2023-08-30 00:00:00+00:00,3,2,1,1
2023-08-31 00:00:00+00:00,1,1,25,1
2023-09-01 00:00:00+00:00,1,1,18,3
2023-09-02 00:00:00+00:00,1,1,2,1
2023-09-03 00:00:00+00:00,1,1,1,1
2023-09-04 00:00:00+00:00,2,2,1,1
2023-09-05 00:00:00+00:00,2,2,7,2
2023-09-06 00:00:00+00:00,2,2,2,1
2023-09-07 00:00:00+00:00,1,1,2,2
2023-09-08 00:00:00+00:00,1,1,1,1
2023-09-09 00:00:00+00:00,2,2,0,0
2023-09-10 00:00:00+00:00,3,2,3,1
2023-09-11 00:00:00+00:00,3,3,4,1
2023-09-12 00:00:00+00:00,1,1,9,1
2023-09-13 00:00:00+00:00,5,2,2,1
2023-09-14 00:00:00+00:00,4,2,0,0
2023-09-15 00:00:00+00:00,2,2,0,0
2023-09-16 00:00:00+00:00,4,2,0,0
2023-09-17 00:00:00+00:00,1,1,0,0
2023-09-18 00:00:00+00:00,2,2,0,0
2023-09-19 00:00:00+00:00,1,1,0,0
2023-09-20 00:00:00+00:00,1,1,3,1
2023-09-21 00:00:00+00:00,1,1,4,1
2023-09-22 00:00:00+00:00,1,1,2,1
2023-09-23 00:00:00+00:00,1,1,0,0
2023-09-24 00:00:00+00:00,1,1,1,1
2023-09-25 00:00:00+00:00,2,2,40,2
2023-09-26 00:00:00+00:00,1,1,0,0
2023-09-27 00:00:00+00:00,1,1,0,0
2023-09-28 00:00:00+00:00,2,2,0,0
2023-09-29 00:00:00+00:00,2,2,3,1
2023-09-30 00:00:00+00:00,1,1,1,1
2023-10-01 00:00:00+00:00,1,1,0,0
2023-10-02 00:00:00+00:00,2,2,0,0
2023-10-03 00:00:00+00:00,4,2,26,2
2023-10-04 00:00:00+00:00,1,1,0,0
2023-10-05 00:00:00+00:00,6,2,0,0
2023-10-06 00:00:00+00:00,2,2,13,2
2023-10-07 00:00:00+00:00,1,1,0,0
2023-10-08 00:00:00+00:00,1,1,0,0
2023-10-09 00:00:00+00:00,4,3,6,2
2023-10-10 00:00:00+00:00,3,2,9,2
2023-10-11 00:00:00+00:00,1,1,1,1
2023-10-12 00:00:00+00:00,1,1,18,1
2023-10-13 00:00:00+00:00,1,1,0,0
2023-10-14 00:00:00+00:00,42,17,0,0
2023-10-15 00:00:00+00:00,2,2,0,0
2023-10-16 00:00:00+00:00,2,2,0,0
2023-10-17 00:00:00+00:00,1,1,1,1
2023-10-18 00:00:00+00:00,2,2,0,0
2023-10-19 00:00:00+00:00,1,1,0,0
2023-10-20 00:00:00+00:00,1,1,47,3
2023-10-21 00:00:00+00:00,1,1,0,0
2023-10-22 00:00:00+00:00,6,3,22,1
2023-10-23 00:00:00+00:00,4,4,84,3
2023-10-24 00:00:00+00:00,1,1,0,0
2023-10-25 00:00:00+00:00,1,1,0,0
2023-10-26 00:00:00+00:00,1,1,83,3
2023-10-27 00:00:00+00:00,1,1,20,1
2023-10-28 00:00:00+00:00,1,1,0,0
2023-10-29 00:00:00+00:00,1,1,0,0
2023-10-30 00:00:00+00:00,2,2,0,0
2023-10-31 00:00:00+00:00,1,1,7,3
2023-11-01 00:00:00+00:00,2,2,1,1
2023-11-02 00:00:00+00:00,1,1,0,0
2023-11-03 00:00:00+00:00,1,1,0,0
2023-11-04 00:00:00+00:00,1,1,0,0
2023-11-05 00:00:00+00:00,2,2,0,0
2023-11-06 00:00:00+00:00,3,3,3,1
2023-11-07 00:00:00+00:00,3,3,0,0
2023-11-08 00:00:00+00:00,1,1,4,3
2023-11-09 00:00:00+00:00,1,1,0,0
2023-11-10 00:00:00+00:00,1,1,0,0
2023-11-11 00:00:00+00:00,2,2,0,0
2023-11-12 00:00:00+00:00,2,2,0,0
2023-11-13 00:00:00+00:00,2,2,0,0
2023-11-14 00:00:00+00:00,1,1,0,0
2023-11-15 00:00:00+00:00,2,2,2,2
2023-11-16 00:00:00+00:00,1,1,30,4
2023-11-17 00:00:00+00:00,1,1,0,0
2023-11-18 00:00:00+00:00,2,2,0,0
2023-11-19 00:00:00+00:00,1,1,0,0
2023-11-20 00:00:00+00:00,2,2,5,2
2023-11-21 00:00:00+00:00,3,3,0,0
2023-11-22 00:00:00+00:00,2,2,0,0
2023-11-23 00:00:00+00:00,1,1,15,2
2023-11-24 00:00:00+00:00,3,2,0,0
2023-11-25 00:00:00+00:00,3,3,0,0
2023-11-26 00:00:00+00:00,2,2,15,1
2023-11-27 00:00:00+00:00,3,3,0,0
2023-11-28 00:00:00+00:00,1,1,0,0
2023-11-29 00:00:00+00:00,10,8,76,5
2023-11-30 00:00:00+00:00,2,2,15,1
2023-12-01 00:00:00+00:00,2,2,0,0
2023-12-02 00:00:00+00:00,2,2,0,0
2023-12-03 00:00:00+00:00,3,3,63,2
2023-12-04 00:00:00+00:00,9,6,30,2
2023-12-05 00:00:00+00:00,2,2,1,1
2023-12-06 00:00:00+00:00,2,2,1,1
2023-12-07 00:00:00+00:00,1,1,0,0
2023-12-08 00:00:00+00:00,2,2,1,1
2023-12-09 00:00:00+00:00,2,2,0,0
2023-12-10 00:00:00+00:00,3,3,0,0
2023-12-11 00:00:00+00:00,3,3,60,3
2023-12-12 00:00:00+00:00,1,1,0,0
2023-12-13 00:00:00+00:00,1,1,5,1
2023-12-14 00:00:00+00:00,4,3,1,1
2023-12-15 00:00:00+00:00,1,1,2,1
2023-12-16 00:00:00+00:00,1,1,0,0
2023-12-17 00:00:00+00:00,3,2,8,2
2023-12-18 00:00:00+00:00,2,2,1,1
2023-12-19 00:00:00+00:00,1,1,13,2
2023-12-20 00:00:00+00:00,1,1,0,0
2023-12-21 00:00:00+00:00,3,3,55,2
2023-12-22 00:00:00+00:00,1,1,0,0
2023-12-23 00:00:00+00:00,1,1,1,1
2023-12-24 00:00:00+00:00,2,2,0,0
2023-12-25 00:00:00+00:00,2,2,0,0
2023-12-26 00:00:00+00:00,4,3,1,1
2023-12-27 00:00:00+00:00,1,1,0,0
2023-12-28 00:00:00+00:00,1,1,25,1
2023-12-29 00:00:00+00:00,4,3,0,0
2023-12-30 00:00:00+00:00,1,1,0,0
2023-12-31 00:00:00+00:00,1,1,0,0
2024-01-01 00:00:00+00:00,4,3,0,0
2024-01-02 00:00:00+00:00,5,3,31,1
2024-01-03 00:00:00+00:00,1,1,1,1
2024-01-04 00:00:00+00:00,1,1,37,1
2024-01-05 00:00:00+00:00,1,1,15,1
2024-01-06 00:00:00+00:00,2,2,0,0
2024-01-07 00:00:00+00:00,1,1,0,0
2024-01-08 00:00:00+00:00,4,3,1,1
2024-01-09 00:00:00+00:00,1,1,6,1
2024-01-10 00:00:00+00:00,1,1,1,1
2024-01-11 00:00:00+00:00,2,2,0,0
2024-01-12 00:00:00+00:00,1,1,0,0
2024-01-13 00:00:00+00:00,3,3,7,1
2024-01-14 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,2,2,0,0
2024-01-16 00:00:00+00:00,3,3,2,1
2024-01-17 00:00:00+00:00,1,1,0,0
2024-01-18 00:00:00+00:00,1,1,0,0
2024-01-19 00:00:00+00:00,1,1,0,0
2024-01-20 00:00:00+00:00,1,1,16,2
2024-01-21 00:00:00+00:00,1,1,0,0
2024-01-22 00:00:00+00:00,3,3,5,1
2024-01-23 00:00:00+00:00,1,1,3,1
2024-01-24 00:00:00+00:00,1,1,2,1
2024-01-25 00:00:00+00:00,1,1,11,1
2024-01-26 00:00:00+00:00,1,1,6,1
2024-01-27 00:00:00+00:00,1,1,0,0
2024-01-28 00:00:00+00:00,2,2,0,0
2024-01-29 00:00:00+00:00,2,2,106,2
2024-01-30 00:00:00+00:00,3,3,91,1
2024-01-31 00:00:00+00:00,1,1,57,3
2024-02-01 00:00:00+00:00,2,2,11,2
2024-02-02 00:00:00+00:00,2,2,0,0
2024-02-03 00:00:00+00:00,1,1,5,1
2024-02-04 00:00:00+00:00,1,1,6,2
2024-02-05 00:00:00+00:00,2,2,1,1
2024-02-06 00:00:00+00:00,1,1,0,0
2024-02-07 00:00:00+00:00,1,1,1,1
2024-02-08 00:00:00+00:00,1,1,12,1
2024-02-09 00:00:00+00:00,3,3,1,1
2024-02-10 00:00:00+00:00,1,1,0,0
2024-02-11 00:00:00+00:00,1,1,1,1
2024-02-12 00:00:00+00:00,2,2,0,0
2024-02-13 00:00:00+00:00,1,1,4,1
2024-02-14 00:00:00+00:00,2,2,0,0
2024-02-15 00:00:00+00:00,1,1,0,0
2024-02-16 00:00:00+00:00,1,1,0,0
2024-02-17 00:00:00+00:00,2,2,0,0
2024-02-18 00:00:00+00:00,1,1,8,1
2024-02-19 00:00:00+00:00,2,2,58,1
2024-02-20 00:00:00+00:00,1,1,3,2
2024-02-21 00:00:00+00:00,1,1,0,0
2024-02-22 00:00:00+00:00,1,1,20,4
2024-02-23 00:00:00+00:00,1,1,0,0
2024-02-24 00:00:00+00:00,2,2,0,0
2024-02-25 00:00:00+00:00,1,1,0,0
2024-02-26 00:00:00+00:00,2,2,3,1
2024-02-27 00:00:00+00:00,1,1,0,0
2024-02-28 00:00:00+00:00,1,1,0,0
2024-02-29 00:00:00+00:00,1,1,1,1
2024-03-01 00:00:00+00:00,1,1,0,0
2024-03-02 00:00:00+00:00,1,1,0,0
2024-03-03 00:00:00+00:00,2,2,0,0
2024-03-04 00:00:00+00:00,2,2,4,1
2024-03-05 00:00:00+00:00,1,1,4,3
2024-03-06 00:00:00+00:00,21,13,11,1
2024-03-07 00:00:00+00:00,1,1,12,1
2024-03-08 00:00:00+00:00,1,1,5,3
2024-03-09 00:00:00+00:00,3,3,7,4
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-11 00:00:00+00:00,2,2,0,0
2024-03-12 00:00:00+00:00,1,1,0,0
2024-03-13 00:00:00+00:00,2,2,8,2
2024-03-14 00:00:00+00:00,2,2,6,1
2024-03-15 00:00:00+00:00,1,1,0,0
2024-03-16 00:00:00+00:00,1,1,0,0
2024-03-17 00:00:00+00:00,1,1,0,0
2024-03-18 00:00:00+00:00,2,2,0,0
2024-03-19 00:00:00+00:00,1,1,0,0
2024-03-20 00:00:00+00:00,1,1,0,0
2024-03-21 00:00:00+00:00,1,1,0,0
2024-03-22 00:00:00+00:00,3,3,0,0
2024-03-23 00:00:00+00:00,1,1,0,0
2024-03-24 00:00:00+00:00,1,1,12,2
2024-03-25 00:00:00+00:00,1,1,16,2
2024-03-26 00:00:00+00:00,1,1,3,2
2024-03-27 00:00:00+00:00,2,2,0,0
2024-03-28 00:00:00+00:00,2,2,0,0
2024-03-29 00:00:00+00:00,1,1,2,1
2024-03-30 00:00:00+00:00,1,1,2,1
2024-03-31 00:00:00+00:00,1,1,0,0
